"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CADPH-FluCAT_Ensemble",0.55677677334013,313.330444226299,0.664948156273363,486.890854817834,0.644230769230769,0.971153846153846,104
"CEPH-Rtrend_fluH",0.693139177045666,102.71851739776,0.753551795356819,137.876391982183,0.428544914625093,0.795842613214551,5388
"CFA_Pyrenew-Pyrenew_HE_Flu",0.591579506846533,13.057649547903,0.692463930784385,19.8305309734513,0.474336283185841,0.889380530973451,1130
"CFA_Pyrenew-Pyrenew_H_Flu",0.743179924144556,69.6740048616397,0.886407039559251,107.581616889804,0.514933058702369,0.936148300720906,1942
"CMU-TimeSeries",0.685101840490261,102.282435720822,0.781996834771918,145.082441875061,0.53957100591716,0.904215976331361,5408
"CMU-climate_baseline",1.17098091365654,155.627816530808,1.44277758587976,239.478831475621,0.487115384615385,0.890384615384615,5200
"CU-ensemble",0.713214224237482,110.935871822742,0.788419338093499,152.7325,0.508461538461538,0.838076923076923,5200
"FluSight-baseline",1,148.711965284924,1,186.317122781065,0.312684911242604,0.711908284023669,5408
"FluSight-ensemble",0.671439787994401,102.316528572807,0.750340204419221,141.446190828402,0.514977810650888,0.81564349112426,5408
"FluSight-lop_norm",0.631031460038834,94.853058994726,0.742438357061148,140.232433431953,0.591900887573965,0.93491124260355,5408
"FluSight-trained_mean",0.663421718683551,83.7407235899347,0.76837491045455,124.065663979588,0.594093406593407,0.932234432234432,4368
"FluSight-trained_med",0.662748793260034,83.0612593771762,0.752216906007144,120.768261747913,0.616758241758242,0.914835164835165,4368
"Gatech-ensemble_point",0.838993947406552,125.72767228904,0.899245614948899,164.899963017751,0.338942307692308,0.724112426035503,5408
"Gatech-ensemble_prob",0.935617594178571,144.6747191761,0.944004309127849,177.722263313609,0.353920118343195,0.681028106508876,5408
"Google_SAI-FluBoostQR",0.61729629692262,7.77581234322743,0.798372932384534,12.7041552197802,0.503605769230769,0.967548076923077,832
"ISU_NiemiLab-GPE",0.741126594237319,128.361301548424,0.809122010927894,173.068614210794,0.454890788224122,0.771367521367521,4212
"JHUAPL-DMD",1.17207494710723,193.281643855763,1.31282307545033,274.483835022512,0.494565217391304,0.848244147157191,4784
"JHUAPL-Morris",0.910817827943287,272.183541175621,1.06119361144316,400.163243225561,0.330128205128205,0.752403846153846,1248
"JHU_CSSE-CSSE_Ensemble",0.846216449925585,134.936915830937,0.978211106473824,194.646037946429,0.5046875,0.8,4480
"LUcompUncertLab-chimera",0.955101593085496,159.823002935501,0.976998756050265,198.988196411709,0.345136921624174,0.696175637393768,4236
"LosAlamos_NAU-CModel_Flu",0.780875516042499,131.142978777696,0.974436462001954,203.834735576923,0.324038461538462,0.843269230769231,4160
"MIGHTE-Joint",0.845097444492217,136.697059219136,0.864686912197298,173.965719063545,0.372491638795987,0.673494983277592,4784
"MIGHTE-Nsemble",0.897118398764745,138.522977895067,0.915709791868827,175.591346153846,0.371394230769231,0.677684294871795,4992
"MOBS-GLEAM_FLUH",0.829512927602333,129.186218702401,0.857179842887901,164.26987254902,0.191380718954248,0.558006535947712,4896
"NEU_ISI-AdaptiveEnsemble",0.681474743841797,105.129820186837,0.752206561304959,143.340266558966,0.287964458804523,0.67124394184168,4952
"NEU_ISI-FluBcast",0.819654431554431,124.846743938308,0.807491281353555,150.354076322637,0.26582827406765,0.556591500433651,4612
"NIH-Flu_ARIMA",0.676188550195525,99.3476580292443,0.761584030859807,138.738839285714,0.246279761904762,0.676339285714286,5376
"OHT_JHU-nbxd",0.746310294566353,125.108874320198,0.872626159569231,181.614013377926,0.39193143812709,0.79933110367893,4784
"PSI-PROF",0.630478247159276,94.1521327357216,0.765922263796634,142.34330806213,0.534948224852071,0.895894970414201,5408
"PSI-PROF_beta",0.640120535838743,96.5847844113712,0.749081173687738,140.764746153846,0.571923076923077,0.891538461538462,5200
"SigSci-TSENS",0.897197565190092,131.983983713016,0.910323729024379,166.636182108626,0.450678913738019,0.673123003194888,5008
"Stevens-ILIForecast",1.36295658970262,232.546577380952,1.18459074009543,253.036401098901,0.0570054945054945,0.132783882783883,4368
"UGA_CEID-Walk",1.02420932831335,157.466089784866,1.10023490901685,208.436673653846,0.476153846153846,0.730576923076923,5200
"UGA_flucast-Copycat",0.673349739104051,97.4428814387987,0.804311571087883,144.998995983936,0.380722891566265,0.82289156626506,4980
"UGA_flucast-INFLAenza",0.76368206546592,115.5159452236,0.893868456309685,166.936850890208,0.409495548961424,0.836053412462908,5392
"UGA_flucast-Scenariocast",0.795428059909973,109.474877933418,0.956351043334895,162.696861924686,0.469037656903766,0.890376569037657,4780
"UGuelph-CompositeCurve",0.649763311378458,109.482739034244,0.774820372624695,163.214233038348,0.394911504424779,0.654129793510325,2712
"UI_CompEpi-EpiGen",0.998419843035378,136.716610540883,0.950683450686453,160.081786030062,0.542219274977896,0.708885941644562,4524
"UM-DeepOutbreak",0.946291560231105,143.533816888662,0.93597912619772,177.496224252129,0.588076923076923,0.735961538461538,5200
"UMass-AR2",0.759547015623488,118.495562202799,0.841080747152642,162.383460293919,0.409930715935335,0.780985373364126,5196
"UMass-flusion",0.659821069471998,103.277384044789,0.740678731374887,142.941836110916,0.395752895752896,0.81969111969112,5180
"UMass-trends_ensemble",0.82289167690813,126.762307692308,0.885755563840388,168.334227071006,0.427329881656805,0.680843195266272,5408
"UNC_IDD-InfluPaint",0.743988767558159,100.548192124372,0.773829421649072,130.026877340885,0.119747899159664,0.475023342670401,4284
"UVAFluX-CESGCN",1.10383550647736,137.988957472772,0.99350252799204,158.006847272288,0.156364468864469,0.395833333333333,4368
"UVAFluX-Ensemble",0.804194883548204,120.43545375611,0.891311122826758,164.841161242604,0.541789940828402,0.768860946745562,5408
"UVAFluX-OptimWISE",0.720411267127727,14.2350598202456,0.847880076289067,21.5187614394704,0.595192307692308,0.917788461538461,2080
"VTSanghani-PRIME",0.872172675565001,126.424083738965,0.91607907360472,164.175332068311,0.578747628083491,0.760531309297913,5270
"fjordhest-ensemble",0.691072281410296,103.511137942912,0.772372070589858,143.45167309175,0.433307632999229,0.770431765612953,5188
